,amount,context_ref,decimals,element_id,unit_ref
211,1073000000,Prior1YearInstant,-6,jppfs_cor_machineryequipmentandvehiclesnet,JPY
212,1222000000,CurrentYearInstant,-6,jppfs_cor_machineryequipmentandvehiclesnet,JPY
213,1460000000,Prior1YearInstant,-6,jppfs_cor_vesselsnet,JPY
214,1185000000,CurrentYearInstant,-6,jppfs_cor_vesselsnet,JPY
215,3878000000,Prior1YearInstant,-6,jppfs_cor_land,JPY
216,3744000000,CurrentYearInstant,-6,jppfs_cor_land,JPY
217,1115000000,Prior1YearInstant,-6,jppfs_cor_leaseassetsnetppe,JPY
218,868000000,CurrentYearInstant,-6,jppfs_cor_leaseassetsnetppe,JPY
219,2000000,Prior1YearInstant,-6,jppfs_cor_constructioninprogress,JPY
220,52000000,CurrentYearInstant,-6,jppfs_cor_constructioninprogress,JPY
221,301000000,Prior1YearInstant,-6,jppfs_cor_othernetppe,JPY
222,281000000,CurrentYearInstant,-6,jppfs_cor_othernetppe,JPY
223,11281000000,Prior1YearInstant,-6,jppfs_cor_propertyplantandequipment,JPY
224,10597000000,CurrentYearInstant,-6,jppfs_cor_propertyplantandequipment,JPY
225,196000000,Prior1YearInstant,-6,jppfs_cor_goodwill,JPY
226,104000000,CurrentYearInstant,-6,jppfs_cor_goodwill,JPY
227,20000000,Prior1YearInstant,-6,jppfs_cor_leaseassetsia,JPY
228,2000000,CurrentYearInstant,-6,jppfs_cor_leaseassetsia,JPY
229,358000000,Prior1YearInstant,-6,jppfs_cor_otheria,JPY
230,336000000,CurrentYearInstant,-6,jppfs_cor_otheria,JPY
231,575000000,Prior1YearInstant,-6,jppfs_cor_intangibleassets,JPY
232,443000000,CurrentYearInstant,-6,jppfs_cor_intangibleassets,JPY
233,5185000000,Prior1YearInstant,-6,jppfs_cor_investmentsecurities,JPY
234,6215000000,CurrentYearInstant,-6,jppfs_cor_investmentsecurities,JPY
235,2963000000,Prior1YearInstant,-6,jppfs_cor_deferredtaxassetsioa,JPY
236,3275000000,CurrentYearInstant,-6,jppfs_cor_deferredtaxassetsioa,JPY
237,782000000,Prior1YearInstant,-6,jppfs_cor_otherioa,JPY
238,758000000,CurrentYearInstant,-6,jppfs_cor_otherioa,JPY
239,-11000000,Prior1YearInstant,-6,jppfs_cor_allowancefordoubtfulaccountsioabygroup,JPY
240,-3000000,CurrentYearInstant,-6,jppfs_cor_allowancefordoubtfulaccountsioabygroup,JPY
241,8920000000,Prior1YearInstant,-6,jppfs_cor_investmentsandotherassets,JPY
242,10245000000,CurrentYearInstant,-6,jppfs_cor_investmentsandotherassets,JPY
243,20778000000,Prior1YearInstant,-6,jppfs_cor_noncurrentassets,JPY
244,21286000000,CurrentYearInstant,-6,jppfs_cor_noncurrentassets,JPY
245,83245000000,Prior1YearInstant,-6,jppfs_cor_assets,JPY
246,84319000000,CurrentYearInstant,-6,jppfs_cor_assets,JPY
